iter	Passed	Remaining
417	2706	1826
418	2713	1819
419	2719	1813
420	2725	1806
421	2732	1799
422	2738	1793
423	2745	1786
424	2751	1780
425	2758	1773
426	2764	1767
427	2770	1760
428	2777	1754
429	2783	1747
430	2789	1741
431	2796	1734
432	2802	1728
433	2808	1721
434	2815	1714
435	2821	1708
436	2827	1701
437	2834	1695
438	2840	1688
439	2846	1682
440	2853	1675
441	2859	1669
442	2865	1662
443	2872	1656
444	2878	1649
445	2885	1643
446	2891	1636
447	2898	1630
448	2904	1623
449	2910	1617
450	2917	1610
451	2923	1603
452	2929	1597
453	2936	1591
454	2943	1584
455	2950	1578
456	2957	1572
457	2963	1566
458	2970	1559
459	2977	1553
460	2983	1546
461	2989	1540
462	2996	1533
463	3002	1527
464	3009	1520
465	3016	1514
466	3023	1508
467	3029	1501
468	3035	1495
469	3042	1488
470	3049	1482
471	3056	1476
472	3063	1470
473	3070	1464
474	3077	1457
475	3084	1451
476	3090	1444
477	3097	1438
478	3103	1431
479	3109	1425
480	3116	1418
481	3122	1412
482	3128	1405
483	3135	1399
484	3142	1393
485	3149	1386
486	3155	1380
487	3162	1373
488	3169	1367
489	3174	1360
490	3181	1354
491	3187	1347
492	3194	1341
493	3200	1334
494	3206	1328
495	3213	1321
496	3219	1314
497	3225	1308
498	3232	1301
499	3238	1295
500	3245	1288
501	3251	1282
502	3257	1275
503	3264	1269
504	3270	1262
505	3276	1256
506	3283	1249
507	3289	1243
508	3295	1236
509	3302	1230
510	3308	1223
511	3315	1217
512	3321	1210
513	3327	1204
514	3333	1197
515	3340	1191
516	3346	1184
517	3352	1178
518	3359	1171
519	3365	1164
520	3371	1158
521	3378	1151
522	3385	1145
523	3392	1139
524	3398	1132
525	3404	1126
526	3411	1120
527	3419	1113
528	3426	1107
529	3432	1101
530	3439	1094
531	3445	1088
532	3452	1081
533	3458	1075
534	3464	1068
535	3470	1061
536	3477	1055
537	3483	1048
538	3489	1042
539	3496	1035
540	3502	1029
541	3508	1022
542	3514	1016
543	3521	1009
544	3527	1003
545	3534	996
546	3540	990
547	3546	983
548	3553	977
549	3559	970
550	3565	964
551	3572	957
552	3578	951
553	3585	944
554	3591	938
555	3598	931
556	3604	925
557	3611	919
558	3619	912
559	3625	906
560	3633	900
561	3639	893
562	3645	887
563	3652	880
564	3658	874
565	3664	867
566	3671	861
567	3677	854
568	3684	848
569	3690	841
570	3697	835
571	3703	828
572	3709	822
573	3716	815
574	3723	809
575	3731	803
576	3737	796
577	3744	790
578	3751	783
579	3758	777
580	3765	771
581	3772	764
582	3778	758
583	3784	751
584	3791	745
585	3797	738
586	3804	732
587	3810	725
588	3816	719
589	3823	712
590	3830	706
591	3836	699
592	3842	693
593	3849	686
594	3855	680
595	3861	673
596	3868	667
597	3874	660
598	3881	654
599	3887	647
600	3893	641
601	3900	634
602	3906	628
603	3913	622
604	3919	615
605	3926	609
606	3933	602
607	3939	596
608	3946	589
609	3953	583
610	3959	576
611	3966	570
612	3972	563
613	3979	557
614	3985	550
615	3992	544
616	3998	537
617	4005	531
618	4011	524
619	4017	518
620	4024	511
621	4030	505
622	4036	498
623	4043	492
624	4049	485
625	4055	479
626	4062	472
627	4068	466
628	4075	459
629	4081	453
630	4087	447
631	4094	440
632	4100	434
633	4106	427
634	4113	421
635	4119	414
636	4126	408
637	4132	401
638	4138	395
639	4146	388
640	4152	382
641	4159	375
642	4166	369
643	4173	362
644	4181	356
645	4188	350
646	4194	343
647	4201	337
648	4207	330
649	4214	324
650	4221	317
651	4227	311
652	4234	304
653	4241	298
654	4249	291
655	4255	285
656	4262	279
657	4269	272
658	4276	266
659	4283	259
660	4290	253
661	4296	246
662	4302	240
663	4309	233
664	4315	227
665	4322	220
666	4329	214
667	4335	207
668	4342	201
669	4348	194
670	4355	188
671	4361	181
672	4369	175
673	4376	168
674	4383	162
675	4389	155
676	4396	149
677	4403	142
678	4409	136
679	4416	129
680	4422	123
681	4429	116
682	4435	110
683	4442	103
684	4448	97
685	4455	90
686	4461	84
687	4467	77
688	4475	71
689	4482	64
690	4490	58
691	4497	51
692	4503	45
693	4509	38
694	4517	32
695	4523	25
696	4529	19
697	4536	12
698	4543	6
699	4549	0
