iter	Logloss
0	0.6776331148
1	0.667590586
2	0.6551157649
3	0.6444696594
4	0.6331021922
5	0.6218389033
6	0.6116235221
7	0.6013498152
8	0.5927901455
9	0.5862779465
10	0.5779163276
11	0.5678628875
12	0.5590685221
13	0.55164028
14	0.5423974989
15	0.5352159693
16	0.5284305565
17	0.5215112781
18	0.5137823994
19	0.5058989329
20	0.4992016019
21	0.4930748755
22	0.489056351
23	0.4836930885
24	0.479670629
25	0.4723383774
26	0.4661159031
27	0.4619648534
28	0.4580838888
29	0.453076621
30	0.4477407519
31	0.4422271169
32	0.4384867619
33	0.4328713689
34	0.4277669408
35	0.4248661661
36	0.4214984293
37	0.4182148733
38	0.4156268658
39	0.4118201643
40	0.4085678553
41	0.4061590722
42	0.4031627283
43	0.397646563
44	0.3940413823
45	0.3916060681
46	0.3889086867
47	0.3865729964
48	0.3835542017
49	0.3814253356
50	0.3791081025
51	0.3759342297
52	0.3728375869
53	0.3691786538
54	0.3665695837
55	0.3637162212
56	0.3612077289
57	0.3591578429
58	0.3562479111
59	0.3545399148
60	0.3517944295
61	0.3492215096
62	0.3463283986
63	0.3437864055
64	0.3413316767
65	0.3392577305
66	0.3371240524
67	0.3347936368
68	0.3335087542
69	0.3318257847
70	0.329590523
71	0.3271185829
72	0.325370642
73	0.323176248
74	0.3216630258
75	0.3196037245
76	0.3170667322
77	0.3150957446
78	0.3123653884
79	0.3096909529
80	0.3074022356
81	0.3062841108
82	0.305176657
83	0.3031611521
84	0.3017593441
85	0.2998389454
86	0.2977733465
87	0.2958334848
88	0.2941589598
89	0.2931678264
90	0.2910757724
91	0.2893327318
92	0.2874805942
93	0.2861335732
94	0.284927707
95	0.2834005641
96	0.2817425542
97	0.280390318
98	0.2791139519
99	0.2775059874
100	0.2762457956
101	0.2743293374
102	0.2728706474
103	0.2713221251
104	0.2696888209
105	0.2680075249
106	0.2664524231
107	0.2643898947
108	0.262834908
109	0.2616192966
110	0.2601452792
111	0.2591653455
112	0.2581544697
113	0.2566646605
114	0.2555702841
115	0.253542599
116	0.2520588559
117	0.2506244937
118	0.2491428377
119	0.2478227702
120	0.2470415948
121	0.2457224353
122	0.2448385624
123	0.2432874357
124	0.2419665533
125	0.241393211
126	0.2403330856
127	0.2392109251
128	0.2379069423
129	0.2367653776
130	0.2357951689
131	0.2344727661
132	0.2327656227
133	0.2315968466
134	0.2305598648
135	0.2294022777
136	0.2283798748
137	0.2272836743
138	0.2259764771
139	0.2252548692
140	0.2241763292
141	0.2221679837
142	0.2215484
143	0.2204548618
144	0.2190222151
145	0.2185099486
146	0.2175268355
147	0.2166084199
148	0.2159629051
149	0.2151216254
150	0.2140806126
151	0.2127234252
152	0.2116476357
153	0.2106439797
154	0.2094326203
155	0.2082348093
156	0.2073498054
157	0.206614703
158	0.2056164044
159	0.2044595529
160	0.2037217939
161	0.2027905375
162	0.201407308
163	0.2007820052
164	0.19990509
165	0.1990124504
166	0.1975590548
167	0.1967020821
168	0.1961568887
169	0.1954223845
170	0.193746662
171	0.1931176758
172	0.1922744029
173	0.1914224641
174	0.1905370658
175	0.1902107795
176	0.1890571145
177	0.1881430335
178	0.1868632458
179	0.1862123279
180	0.1853745252
181	0.1840716948
182	0.1833469264
183	0.1827259173
184	0.1818561539
185	0.1810046669
186	0.1800671382
187	0.1790440909
188	0.1781045013
189	0.1770374992
190	0.1758511894
191	0.1750656145
192	0.174277165
193	0.1738117697
194	0.1727828205
195	0.1719708797
196	0.1711802999
197	0.1704565305
198	0.1699677815
199	0.1693757174
200	0.1685916427
201	0.1677366094
202	0.1668786909
203	0.165990306
204	0.165080811
205	0.1641748852
206	0.1637267493
207	0.1630493343
208	0.1624241577
209	0.1619686247
210	0.1610245867
211	0.1602789902
212	0.1595364814
213	0.1582498364
214	0.1576290721
215	0.1568984906
216	0.1563342648
217	0.1554442083
218	0.1550254819
219	0.1545242506
220	0.1536169554
221	0.1530140263
222	0.1520307118
223	0.1512337142
224	0.1504746433
225	0.1497172819
226	0.148833177
227	0.1479969501
228	0.1474190869
229	0.1467234128
230	0.1458555383
231	0.1450002637
232	0.1440783047
233	0.143342864
234	0.1425794195
235	0.1417122701
236	0.1412658309
237	0.1405140666
238	0.1398531978
239	0.1391065668
240	0.138406597
241	0.137414576
242	0.1365732347
243	0.1361127082
244	0.135451428
245	0.1350211129
246	0.1342147132
247	0.1335321613
248	0.1328470305
249	0.1320937183
250	0.1315136386
251	0.1309175697
252	0.1302337042
253	0.1296984918
254	0.1287488041
255	0.1282753486
256	0.1274513283
257	0.1270697563
258	0.1262631821
259	0.1255465459
260	0.1248339721
261	0.1240569585
262	0.1234171709
263	0.1228896745
264	0.1221546789
265	0.1213446496
266	0.1206814439
267	0.1199626924
268	0.1193069428
269	0.1186308267
270	0.1180517975
271	0.1170792795
272	0.1163105247
273	0.1154987693
274	0.1148065579
275	0.1141973276
276	0.1136713566
277	0.1130812234
278	0.1122971205
279	0.1115883307
280	0.110839994
281	0.1102478064
282	0.1099028904
283	0.1092556702
284	0.1085750024
285	0.1080088817
286	0.1072993601
287	0.1067002702
288	0.1060583005
289	0.1052520787
290	0.1042730705
291	0.1036875451
292	0.103100056
293	0.1025949886
294	0.1021114302
295	0.1012968854
296	0.1008199105
297	0.1003457512
298	0.09985571118
299	0.09949921883
300	0.09894569621
301	0.09829577906
302	0.09783676444
303	0.09742187065
304	0.09677924043
305	0.09621241119
306	0.0958792026
307	0.09528707787
308	0.09481588386
309	0.09417134256
310	0.09367022297
311	0.09318084623
312	0.09259961004
313	0.09196765851
314	0.09155111341
315	0.09106761586
316	0.09060812564
317	0.09000518634
318	0.08958388455
319	0.08914354896
320	0.08879220102
321	0.08845728802
322	0.08802906631
323	0.0876031006
324	0.08698170989
325	0.0864032253
326	0.08581230752
327	0.08539784655
328	0.08508201106
329	0.08439179664
330	0.08384510466
331	0.08338925318
332	0.08278618119
333	0.08223127935
334	0.08165151472
335	0.08111975861
336	0.08068004336
337	0.08042056503
338	0.08001964261
339	0.07962168778
340	0.07914174048
341	0.07882287698
342	0.078656271
343	0.07837359641
344	0.07799238883
345	0.07780414074
346	0.07761443292
347	0.07721969327
348	0.07674166351
349	0.07626869789
350	0.07576061457
351	0.07536576342
352	0.07493735737
353	0.07456132307
354	0.07408534486
355	0.07368747279
356	0.07333624448
357	0.07304983549
358	0.07258323624
359	0.07238197854
360	0.07195676545
361	0.07161980653
362	0.07112692459
363	0.07082775995
364	0.07041529159
365	0.07004392981
366	0.06965807244
367	0.06917026671
368	0.06896995732
369	0.06852138248
370	0.06811081925
371	0.06777269637
372	0.06737546287
373	0.06706745239
374	0.06669014839
375	0.06632989917
376	0.06601549518
377	0.06560582658
378	0.06523921549
379	0.06489333346
380	0.06466055657
381	0.06441819244
382	0.06397087059
383	0.06361427414
384	0.06329048517
385	0.06297209056
386	0.06268328169
387	0.06234855107
388	0.06196882526
389	0.06178113808
390	0.06141551451
391	0.06108463213
392	0.06076089919
393	0.06042497467
394	0.06013494506
395	0.05978879228
396	0.05948286192
397	0.05915298435
398	0.05874416503
399	0.05845987429
400	0.05814576447
401	0.05778198399
402	0.05745141591
