iter	Logloss
403	0.05717298421
404	0.05688574175
405	0.05657243511
406	0.05647548471
407	0.0561530742
408	0.05579199374
409	0.05550671734
410	0.05531788847
411	0.05497341629
412	0.05473605883
413	0.05450959236
414	0.0542547853
415	0.0539788639
416	0.05365624387
417	0.05334405957
418	0.05304390993
419	0.0527863129
420	0.05254640963
421	0.05226208337
422	0.05202424041
423	0.05177459993
424	0.05158482807
425	0.05133592755
426	0.05093913222
427	0.05066509483
428	0.05035038375
429	0.05018849996
430	0.04993346237
431	0.04975000428
432	0.04949403058
433	0.04925800329
434	0.049024417
435	0.04887459098
436	0.04864362581
437	0.04845102981
438	0.04822114658
439	0.04793540089
440	0.04766416519
441	0.04744686561
442	0.04717895799
443	0.046917185
444	0.04666827548
445	0.04645226326
446	0.04619632644
447	0.04603090154
448	0.04576846268
449	0.04552563333
450	0.04526781301
451	0.0450882311
452	0.0448745259
453	0.04467186461
454	0.04445072604
455	0.04426604539
456	0.04407356613
457	0.04386973157
458	0.04366926547
459	0.04347534102
460	0.04322304054
461	0.0430024425
462	0.04281359967
463	0.04265006512
464	0.04254959585
465	0.04234075711
466	0.04223128223
467	0.04203610227
468	0.04183176084
469	0.0416058485
470	0.041526869
471	0.04137954153
472	0.04119831622
473	0.04104060199
474	0.04089364037
475	0.04068339281
476	0.04055852357
477	0.0404165694
478	0.04015943892
479	0.03991775576
480	0.03970476888
481	0.03959778492
482	0.03943953268
483	0.03923557424
484	0.03902658603
485	0.03886835524
486	0.03878102065
487	0.03859656326
488	0.03843187273
489	0.03824336264
490	0.0380843746
491	0.03795369259
492	0.03785432726
493	0.03768307845
494	0.03755318434
495	0.03746679542
496	0.03727379979
497	0.03709916242
498	0.03696293093
499	0.03678188551
500	0.03663746085
501	0.03644451268
502	0.03629022523
503	0.03614514847
504	0.03603446344
505	0.03590015372
506	0.03572161552
507	0.03556885785
508	0.03537264879
509	0.03523811714
510	0.03512453829
511	0.03498621306
512	0.03481280545
513	0.03466789715
514	0.03453121963
515	0.03443212849
516	0.03427084139
517	0.03418330159
518	0.03403359477
519	0.03386183543
520	0.03374153795
521	0.03355471411
522	0.03341905079
523	0.03331429161
524	0.03323268164
525	0.03310147205
526	0.03295764198
527	0.03280065881
528	0.03265799163
529	0.03250542036
530	0.03237127104
531	0.032243121
532	0.03208603434
533	0.03191874819
534	0.03182429122
535	0.03164999871
536	0.03151938185
537	0.03139212769
538	0.03128023612
539	0.0311351794
540	0.03101297485
541	0.03093840913
542	0.03082629156
543	0.03071882782
544	0.03058740447
545	0.03048331024
546	0.03039583328
547	0.03025520138
548	0.0301317019
549	0.03002062954
550	0.02988913693
551	0.02973078022
552	0.02962235269
553	0.02951939882
554	0.02944972476
555	0.02932088409
556	0.02926051955
557	0.02916117427
558	0.0290738975
559	0.02891826322
560	0.02879427265
561	0.02869207883
562	0.02865151627
563	0.02853496868
564	0.02842396952
565	0.02835811018
566	0.02825127413
567	0.02815940959
568	0.02804679225
569	0.0279244409
570	0.02782234382
571	0.02770744454
572	0.02759248434
573	0.02745979124
574	0.02730879552
575	0.02720614509
576	0.02709886637
577	0.0269802086
578	0.02693152986
579	0.02682235859
580	0.02673345194
581	0.02662254535
582	0.02647256273
583	0.02634106917
584	0.02621974346
585	0.02617520183
586	0.02609878265
587	0.02598606991
588	0.02593219172
589	0.02584091075
590	0.02575752314
591	0.02564146539
592	0.02552447956
593	0.02543777681
594	0.02535730417
595	0.02530769038
596	0.02520727755
597	0.02512202187
598	0.02501625529
599	0.0249570735
600	0.02494049867
601	0.02485183114
602	0.02474395815
603	0.0246517772
604	0.02458119886
605	0.02454527904
606	0.02444982254
607	0.02435794888
608	0.02430782109
609	0.02420801988
610	0.02414690011
611	0.02406723821
612	0.0239917644
613	0.02390636912
614	0.02380556685
615	0.02372350136
616	0.02362599384
617	0.02354004984
618	0.02344813292
619	0.02337681898
620	0.02327231776
621	0.0231646411
622	0.02306329996
623	0.02299947352
624	0.0229344724
625	0.02284536558
626	0.02277067984
627	0.02269919081
628	0.02260595133
629	0.02252917311
630	0.02244447706
631	0.02237309847
632	0.02225592038
633	0.02223178067
634	0.02217672243
635	0.02210894513
636	0.02202784975
637	0.0219542552
638	0.02188265956
639	0.02180542264
640	0.02172380666
641	0.02163816647
642	0.02157219846
643	0.02146983007
644	0.02137439734
645	0.02129228276
646	0.02122242509
647	0.0211462369
648	0.02107086907
649	0.02098531683
650	0.02090661496
651	0.0208648765
652	0.02082411168
653	0.02073001205
654	0.02066714698
655	0.0205819685
656	0.02052261912
657	0.0204508813
658	0.02044606488
659	0.02039778274
660	0.02031520479
661	0.02023838828
662	0.02015267572
663	0.02006340807
664	0.02000691871
665	0.01992316443
666	0.01987046863
667	0.01979455304
668	0.01972938535
669	0.01965829003
670	0.01958501833
671	0.01953255381
672	0.01947955732
673	0.01941444734
674	0.01935566015
675	0.01927658845
676	0.01920732655
677	0.01915240668
678	0.01908359227
679	0.01901691802
680	0.01894463666
681	0.01888710679
682	0.01881916364
683	0.01876469413
684	0.01871381805
685	0.01864034946
686	0.01856442125
687	0.01851074827
688	0.01844904153
689	0.01839354238
690	0.01833511764
691	0.01826379261
692	0.01820160845
693	0.01815304028
694	0.01808587458
695	0.01800801145
696	0.01794779313
697	0.01789209808
698	0.01782388732
699	0.01776918645
